FULL_CODE,PAR_CODE,PAR_NAME,DUN_CODE,DUN_NAME,DM_CODE,DM_NAME,POPULATION
192/01/01,192,MAS GADING,01,Opar,01,Sebiris,348
192/01/02,192,MAS GADING,01,Opar,02,Jangkar,642
192/01/03,192,MAS GADING,01,Opar,03,Sebandi,287
192/01/04,192,MAS GADING,01,Opar,04,Temaga,486
192/01/05,192,MAS GADING,01,Opar,05,Stungkor,397
192/01/06,192,MAS GADING,01,Opar,06,Opar,920
192/01/07,192,MAS GADING,01,Opar,07,Serayan,605
192/01/08,192,MAS GADING,01,Opar,08,Rukam,402
192/01/09,192,MAS GADING,01,Opar,09,Sembawang,450
192/01/10,192,MAS GADING,01,Opar,10,Kandaie,261
192/01/11,192,MAS GADING,01,Opar,11,Pasir Tengah,183
192/01/12,192,MAS GADING,01,Opar,12,Sedaing,72
192/01/13,192,MAS GADING,01,Opar,13,Biawak,287
192/01/14,192,MAS GADING,01,Opar,14,Senibong,431
192/01/15,192,MAS GADING,01,Opar,15,Sebako,457
192/01/16,192,MAS GADING,01,Opar,16,Raso,121
192/01/17,192,MAS GADING,01,Opar,17,Raso II,213
192/01/18,192,MAS GADING,01,Opar,18,Bokah,354
192/01/19,192,MAS GADING,01,Opar,19,Stom Muda,227
192/01/20,192,MAS GADING,01,Opar,20,Selampit,0688
192/01/21,192,MAS GADING,01,Opar,21,Jugan,592
192/01/22,192,MAS GADING,01,Opar,22,Stenggang,1108
192/02/01,192,MAS GADING,02,Tasik Biru,01,Sajong,942
192/02/02,192,MAS GADING,02,Tasik Biru,02,Apar,882
192/02/03,192,MAS GADING,02,Tasik Biru,03,Buso,745
192/02/04,192,MAS GADING,02,Tasik Biru,04,Tondong,571
192/02/05,192,MAS GADING,02,Tasik Biru,05,Grogo,449
192/02/06,192,MAS GADING,02,Tasik Biru,06,Bau,2689
192/02/07,192,MAS GADING,02,Tasik Biru,07,Skiat,937
192/02/08,192,MAS GADING,02,Tasik Biru,08,Jagoi,608
192/02/09,192,MAS GADING,02,Tasik Biru,09,Daun,738
192/02/10,192,MAS GADING,02,Tasik Biru,10,Tanjong Poting,703
192/02/11,192,MAS GADING,02,Tasik Biru,11,Atas,518
192/02/12,192,MAS GADING,02,Tasik Biru,12,Barieng,206
192/02/13,192,MAS GADING,02,Tasik Biru,13,Sudoh,461
192/02/14,192,MAS GADING,02,Tasik Biru,14,Segong,677
192/02/15,192,MAS GADING,02,Tasik Biru,15,Musi,233
192/02/16,192,MAS GADING,02,Tasik Biru,16,Suba Buan,0352
192/02/17,192,MAS GADING,02,Tasik Biru,17,Suba Bau,431
192/02/18,192,MAS GADING,02,Tasik Biru,18,Sibuloh,631
192/02/19,192,MAS GADING,02,Tasik Biru,19,Sebuku,407
192/02/20,192,MAS GADING,02,Tasik Biru,20,Tai Ton,527
192/02/21,192,MAS GADING,02,Tasik Biru,21,Stass,699
192/02/22,192,MAS GADING,02,Tasik Biru,22,Skibang,416
